省份,区域电网类型,碳排放因子(kgCO?/kWh),热力碳排放因子(kgCO?/MJ),发布年份
北京,华北电网,0.5554,0.11,2025
天津,华北电网,0.6796,0.11,2025
河北,华北电网,0.6516,0.11,2025
山西,华北电网,0.6634,0.11,2025
内蒙古,华北/东北电网,0.6479,0.11,2025
辽宁,东北电网,0.4878,0.11,2025
吉林,东北电网,0.4671,0.11,2025
黑龙江,东北电网,0.5229,0.11,2025
上海,华东电网,0.5737,0.11,2025
江苏,华东电网,0.5827,0.11,2025
浙江,华东电网,0.4974,0.11,2025
安徽,华东电网,0.6553,0.11,2025
福建,华东电网,0.4211,0.11,2025
江西,华中电网,0.5836,0.11,2025
山东,华北电网,0.6191,0.11,2025
河南,华中电网,0.5897,0.11,2025
湖北,华中电网,0.4044,0.11,2025
湖南,华中电网,0.4976,0.11,2025
广东,南方电网,0.4419,0.11,2025
广西,南方电网,0.4476,0.11,2025
海南,南方电网,0.3648,0.11,2025
重庆,华中电网,0.5581,0.11,2025
四川,华中电网,0.1564,0.11,2025
贵州,南方电网,0.5683,0.11,2025
云南,南方电网,0.1333,0.11,2025
陕西,西北电网,0.6335,0.11,2025
甘肃,西北电网,0.4471,0.11,2025
青海,西北电网,0.1796,0.11,2025
宁夏,西北电网,0.6187,0.11,2025
新疆,西北电网,0.6021,0.11,2025
