药材名称,干燥技术,最适动力学模型,有效水分扩散系数(m2/s),干燥活化能(kJ/mol),拟合R2
人参（根）,热风干燥（HAD）,Modified Page / Weibull,1.155e-10 ~ 2.885e-10,46.64,>0.99
地黄（块根）,热风干燥（HAD）,Midilli,6.680e-10 ~ 1.500e-09,34.94,>0.999
金银花（花）,远红外鼓风干燥,Page,5.070e-10 ~ 7.600e-09,33.57,>0.99
金银花（花）,热风干燥（HAD）,Midilli,1.000e-09 ~ 1.000e-07,80.04,0.9966~0.9995
佛手（果实）,热风/微波干燥,Midilli,1.200e-10 ~ 3.800e-09,25.4~38.6,>0.995
薄荷（全草）,热风干燥（HAD）,Midilli,7.510e-09 ~ 3.030e-08,57.98,>0.99
黄芪（根）,热风干燥（HAD）,Weibull,3.210e-08 ~ 1.178e-07,56.49,0.9951~0.9992
茯苓（菌核）,热风/真空/微波,Weibull,3.900e-09 ~ 2.040e-08,29.45~40.09,>0.99
天麻（块茎）,红外干燥（FIR）,Page,1.930e-08 ~ 4.050e-08,17.14,>0.99
陈皮（果皮）,热泵干燥（HPD）,Weibull,9.690e-06 ~ 1.410e-05,13.22,>0.99
