药材名称,区域,技术名称,综合得分,总成本(元/吨),碳排放(kgCO₂/吨),药效保留率
人参,东北产区,热泵干燥（HPD）,0.06749999999999999,126.71595833333333,98.04375,77.5%
人参,华东产区,热泵干燥（HPD）,0.06749999999999999,127.38870833333333,109.25625,77.5%
人参,华中产区,热泵干燥（HPD）,0.06749999999999999,127.46745833333333,110.56875,77.5%
人参,华北产区,热泵干燥（HPD）,0.06749999999999999,128.16383333333332,122.175,77.5%
人参,华南产区,热泵干燥（HPD）,0.06749999999999999,125.80470833333332,82.85625,77.5%
人参,西北产区,热泵干燥（HPD）,0.06749999999999999,127.96020833333333,118.78124999999999,77.5%
人参,西南产区,热泵干燥（HPD）,0.06749999999999999,122.59283333333333,29.325000000000003,77.5%
地黄,东北产区,热泵干燥（HPD）,0.06749999999999999,147.23561333333333,115.03800000000001,77.5%
地黄,华东产区,热泵干燥（HPD）,0.06749999999999999,148.02497333333335,128.194,77.5%
地黄,华中产区,热泵干燥（HPD）,0.06749999999999999,148.11737333333335,129.734,77.5%
地黄,华北产区,热泵干燥（HPD）,0.06749999999999999,148.93445333333335,143.352,77.5%
地黄,华南产区,热泵干燥（HPD）,0.06749999999999999,146.16641333333334,97.218,77.5%
地黄,西北产区,热泵干燥（HPD）,0.06749999999999999,148.69553333333334,139.36999999999998,77.5%
地黄,西南产区,热泵干燥（HPD）,0.06749999999999999,142.39781333333335,34.408,77.5%
薄荷,东北产区,热泵干燥（HPD）,0.06749999999999999,139.06489098039216,108.27105882352942,77.5%
薄荷,华东产区,热泵干燥（HPD）,0.06749999999999999,139.80781803921568,120.65317647058824,77.5%
薄荷,华中产区,热泵干燥（HPD）,0.06749999999999999,139.89478274509804,122.10258823529412,77.5%
薄荷,华北产区,热泵干燥（HPD）,0.06749999999999999,140.66379921568625,134.9195294117647,77.5%
薄荷,华南产区,热泵干燥（HPD）,0.06749999999999999,138.0585850980392,91.49929411764707,77.5%
薄荷,西北产区,热泵干燥（HPD）,0.06749999999999999,140.43893333333332,131.17176470588234,77.5%
薄荷,西南产区,热泵干燥（HPD）,0.06749999999999999,134.51166745098038,32.384,77.5%
金银花,东北产区,热泵-远红外联合干燥,0.0375,76.17550284090908,52.73565340909091,87.5%
金银花,华东产区,热泵-远红外联合干燥,0.0375,76.53736079545453,58.76661931818181,87.5%
金银花,华中产区,热泵-远红外联合干燥,0.0375,76.57971874999998,59.472585227272724,87.5%
金银花,华北产区,热泵-远红外联合干燥,0.0375,76.95428409090908,65.7153409090909,87.5%
金银花,华南产区,热泵-远红外联合干燥,0.0375,75.68536079545453,44.566619318181814,87.5%
金银花,西北产区,热泵-远红外联合干燥,0.0375,76.84475852272726,63.889914772727266,87.5%
金银花,西南产区,热泵-远红外联合干燥,0.0375,73.95776136363635,15.773295454545455,87.5%
陈皮,东北产区,热泵干燥（HPD）,0.06749999999999999,132.06812298850573,102.47637931034484,77.5%
陈皮,华东产区,热泵干燥（HPD）,0.06749999999999999,132.77128850574712,114.19580459770116,77.5%
陈皮,华中产区,热泵干燥（HPD）,0.06749999999999999,132.8535988505747,115.56764367816092,77.5%
陈皮,华北产区,热泵干燥（HPD）,0.06749999999999999,133.58145747126434,127.69862068965517,77.5%
陈皮,华南产区,热泵干燥（HPD）,0.06749999999999999,131.11567471264365,86.60224137931036,77.5%
陈皮,西北产区,热泵干燥（HPD）,0.06749999999999999,133.3686264367816,124.15143678160919,77.5%
陈皮,西南产区,热泵干燥（HPD）,0.06749999999999999,127.75858850574711,30.650804597701153,77.5%
黄芪,东北产区,热风-热泵联合干燥,0.0825,185.42632333333336,143.21650000000002,72.5%
黄芪,华东产区,热风-热泵联合干燥,0.0825,186.40903666666668,159.59505555555558,72.5%
黄芪,华中产区,热风-热泵联合干燥,0.0825,186.52407000000002,161.5122777777778,72.5%
黄芪,华北产区,热风-热泵联合干燥,0.0825,187.54129333333336,178.466,72.5%
黄芪,华南产区,热风-热泵联合干燥,0.0825,184.09522333333334,121.03150000000001,72.5%
黄芪,西北产区,热风-热泵联合干燥,0.0825,187.24385,173.50861111111112,72.5%
黄芪,西南产区,热风-热泵联合干燥,0.0825,179.4035066666667,42.836222222222226,72.5%
