序号,药材标准名称(药典名),药用部位,鲜品初始含水率(%),药典规定成品含水率(%),一段切换含水率(%),二段切换/终点含水率(%),热敏性等级(高/中/低),最高安全干燥温度(℃),易碎风险(高/中/低),氧化风险(高/中/低),适宜最大风速(m/s),适宜最大料层厚度(mm),主要有效成分类型,有效成分热稳定性(高/中/低),干燥禁忌提示
1,人参,根及根茎,72,12 ,40,12,中,60,中,低,1.8,8,人参皂苷、少量挥发油,中,忌高温久烘、忌强光直射，宜阴凉通风缓干
2,地黄,块根,83,15 ,50,15,中,75,低,中,2,4,梓醇、毛蕊花糖苷,中,忌高温暴晒；忌急烘致黑变
3,金银花,花,83,12 ,72,35,高,40,高,高,1.7,30,挥发油、有机酸、黄酮、环烯醚萜、皂苷,低,忌高温（＞60℃），忌暴晒，忌快速高温烘干，易变色、有效成分破坏
4,佛手,果实,80,15 ,50,15,高,60,高,高,1.2,30,橙皮苷、挥发油,低,忌高温暴晒；忌强风致走油。
5,薄荷,全草,79,15 ,50,15,高,50,高,高,1.5,20,薄荷脑、挥发油,低,忌>50℃；忌暴晒；忌翻动过频。
6,黄芪,根,68,10 ,45,20,低,70,中,中,2.5,20,黄芪甲苷、黄芪多糖,高,忌过度干燥致纤维脆碎。
7,茯苓,菌核,52,18 ,25,18,中,81,中,低,1.5,3,茯苓多糖、茯苓酸,高,忌高温急烘致龟裂；忌高风速
8,天麻,根茎及块茎,75,15 ,55,30,中,80,中,低,1,5,天麻素、对羟基苯甲醇,中,高温干燥易发生美拉德反应使饮片呈黄褐色；快速失水会导致细胞壁破裂、纤维素皱缩，切片翘边严重，影响外观
9,陈皮,果皮,75,13 ,30,13,中,80,中,中,2,30,橙皮苷、挥发油,中,忌高温暴晒；忌强风致香气散。
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
